ID: 1
Nombre: Luis
Apellidos: Pérez
Edad: 25
DNI: 44455566A

ID: 2
Nombre: María
Apellidos: Pérez
Edad: 21
DNI: 44455577A

ID: 3
Nombre: Marcos
Apellidos: Pérez
Edad: 29
DNI: 44488866A

ID: 1
Nombre: Luis
Apellidos: Pérez
Edad: 25
DNI: 44455566A

ID: 2
Nombre: María
Apellidos: Pérez
Edad: 21
DNI: 44455577A

ID: 3
Nombre: Marcos
Apellidos: Pérez
Edad: 29
DNI: 44488866A

ID: 1
Nombre: Luis
Apellidos: Pérez
Edad: 25
DNI: 44455566A

ID: 2
Nombre: María
Apellidos: Pérez
Edad: 21
DNI: 44455577A

ID: 3
Nombre: Marcos
Apellidos: Pérez
Edad: 29
DNI: 44488866A

